"","sub","W"
"1","557c0bd8fdf99b120dc45dde",0.13
"2","55cca8f81676ab000ff06ef1",0.2855
"3","561f684fed6e5a000dc7e878",0.1905
"4","56e9c7ac0a5579000d8f7dd4",0.0295
"5","57681fca8e454c000133a203",0.0365
"6","57a5c633275be6000135b61c",0.4005
"7","57b77ad86615e5000160ea97",0.0215
"8","57c843b0414f730001e3cc7a",0.2185
"9","5977986837d15f00016f1d08",0.28
"10","59860ea5fd8cca00015cba4d",0.194
"11","5996f25a05a0e30001f1fd72",0.201
"12","59ae8d282a78fd00010b80e7",0.1865
"13","59f392ef9618dc0001d33a58",0.0945
"14","5a9057b96219a30001d2d8f6",0.209
"15","5b126b7ebd9c31000156c3b9",0.2275
"16","5b266738007d870001c7c360",0.205
"17","5b2a2d855b5c0900018b0bf5",0.123
"18","5b460b3678d6310001b74803",0.2275
"19","5b52f4933234ab00014ca442",0.6825
"20","5b829a201a1b2200016e86c4",0.2895
"21","5ba104967b196f00019640a1",0.125
"22","5baa685207b344000128ea01",0.208
"23","5bcd24135c2b810001dc9756",0.05
"24","5c8b065abd96ce0001947d1b",0.168
"25","5ca73fe6bcdcc2001291822d",0.286
"26","5d1a1d97a51463000183f7af",0.014
"27","5d3f020cfd9694001a2d1a1c",0.185
"28","5d543730eda30f0001bb779a",0.1925
"29","5d66f49c531d6e0001e99e8a",0.08
"30","5d9ca4eff93dba0013e68c11",0.604
"31","5da83385e8bf0200113c3c6e",0.183
"32","5dbc7bb351b13c22d8df0fe8",0.273
"33","5dccf99db9d9049777368b3b",0.1755
"34","5dd2bfcc51db1c2d1c3263b7",0.0685
"35","5ddac93016d10ca2991f7dbf",0.206
"36","5e2e7ffe484f9b45e086fdc0",0.1335
"37","5e5bf2d23ff8553d87edd445",0.1235
"38","5e73c7a5d302e933a4a51bd8",0.229
"39","5e84c792bde837092ec273de",0.029
"40","5e933bbce6812e6768a81eb9",0.2225
"41","5ebbea369da72a018c463ed4",0.196
"42","5eed14f9c71a701260df7784",0.215
"43","5efe4a942544c433d6436a15",0.156
"44","5f088ba29bf08d0b3885f726",0.0915
"45","5f959198afcad03e98ee113f",0.338
"46","5f9ac9de923dca223848cf19",0.191
"47","5fc8384d1bc5841b0e23dce6",0.1895
"48","5fd76b7d246a3705a25c9a94",0.0185
"49","5fdb2fd2f50fe7840ab768d3",0.202
"50","601ecf037d641438c0840330",0.0305
"51","60466d07f1413d03d525ce43",0.1975
"52","605772a89b984daa51fb5692",0.313
"53","6074c0ce19889ca4efd4448e",0.193
"54","6096641a9e223108983672a4",0.1915
"55","60c67f7c98690351d580de6c",0.105
"56","60ca044c7b2e9a4654efeb77",0.4525
"57","60cba845ce728e9261e12f6f",0.034
"58","60d3136e74b1871646e72544",0.267
"59","60e5fa452bd56bda03990e27",0.1605
"60","60e97cc8cfc0ba33080d90fe",0.097
"61","60eda06d99b98a3a16aac2fb",0.01
"62","60fc14b7339c9fc0dc0ab317",0.2045
"63","6100fd9153a73727cf2edda8",0.6045
"64","610303cc518cc9e3899dcbb7",0.206
"65","611572b4abe6a1bfe26001a3",0.2995
"66","611bac33b05155b4845a6f41",0.0175
"67","613f1d6420141eefc3e5f1b0",0.196
"68","62962018b1bef67edfd5718e",0.29
"69","62b9cf42a63194f71fc0a393",0.1175
"70","62d6d77df59450e545fb22f6",0.1795
"71","62fb7ba781f1eaac2b543934",0.0335
"72","62fd10443b9a8510ba1298fc",0.1645
"73","63af557b3d4f219c3226b7d6",0.1785
"74","63d05806e94c60eb89e4d3f5",0.026
"75","63d13d214a2a7a3987f88f5b",0.3335
"76","63d3f9a5b1eff52d97c7c86e",0.187
"77","63d8073e2f2480e62ba8d4b9",0.1935
"78","63e40d7b1a88578e3c993478",0.2195
"79","63e51c201c0000d37060d920",0.195
"80","63ee7fdc7353888045333f01",0.0655
"81","63f7a8d2b40592bb1db6cbef",0.0615
"82","6400e00a3cf40dffc3b211c5",0.144
"83","641357a75fa4ec5723843eb2",0.502
"84","64416ffb0b2219961e4ce181",0.197
"85","645d76901063f7fdff9ce59b",0.181
"86","65341bd6cc83ab081644bbfb",0.1725
"87","654cec9d03f822b4b2b4133a",0.2025
"88","65d8fa2941e5a23c0bd0fb87",0.2525
"89","65e0a88fcc6c49698e16ee00",0.1955
"90","65f66a9c78b358ac9108f8fe",0.227
"91","660d5af29e8f6f8ac3be3749",0.2125
"92","661bc4e8c0659c1e17f751d3",0.206
"93","6620f5de5edae6e60f556986",0.2065
"94","662864dd0ee4a4b771071198",0.1265
"95","662ce5a11111e03ef13bdb69",0.117
"96","663827f44936c1ad8d008b68",0.2065
"97","663b7ad234b11a3aa63c6685",0.185
"98","6640edf60de1f01b4cc686dd",0.195
"99","6643dcdaee723e90ec897171",0.671
"100","6644b247f360df5a617df998",0.21
"101","559d75befdf99b1e2b2dc522",0.959
"102","57c4761195a3ea00016e5992",0.95
"103","58f501db575c01000180b65e",0.9355
"104","5954900d5071bb0001ce99f0",0.9285
"105","5999aedebbe8480001796677",0.8845
"106","59b187d0834a170001d607bf",0.9465
"107","5a9bbda1f6dfdd0001ea9639",0.9545
"108","5b7924d8338a93000154ad21",0.811
"109","5be742980bedce00010bcf31",0.967
"110","5c027a6dc776820001bd652f",0.8855
"111","5cc8a98dcedf2000172b04ae",0.8735
"112","5cf245d4639b150018eb7351",0.9555
"113","5d4de7322bb0fa0001c21257",0.916
"114","5d867c33964b9b001a96dcb4",0.927
"115","5dc161a2ce6a9d0cf9814d5b",0.6215
"116","5e2b36b28ef3f2000d8600c2",0.873
"117","5e2f5e5b49436752b45e0e9e",0.8875
"118","5e7e72de99b9e6553dc28dcf",0.944
"119","5e907551265410377d898222",0.9865
"120","5ea4cebb8944a8495280db42",0.925
"121","5eaf94ba2b58c169c02785c2",0.9385
"122","5eb53b2fd978b13c38744dfa",0.879
"123","5ed1288955ecd90325cb727c",0.674
"124","5edd5b6d419dc20c161b4e9e",0.879
"125","5f4fc59aab8e460ca4a9a8b0",0.95
"126","5f57be602095072bb238a7ab",0.7155
"127","5f69a3c91c1e25193e3f9c7b",0.9085
"128","5fe09680a60b5b9d945ca235",0.958
"129","60650e72f3359295eb889c0f",0.8865
"130","60cf0d251a90eb823bc9b740",0.9735
"131","60ec1784273ae579b9a2a530",0.9255
"132","60f58103f23bca812b229dbb",0.9725
"133","6112dc9fe0bbeb6fca8fc014",0.9915
"134","612198f856c9f4f2f02f7046",0.9045
"135","6150dd240ac46d69cf98aab6",0.866
