"","sim","gen","mu_t","score","know"
"1",1,1,0,0,0.00585029000017676
"2",1,2,0,0,0.0284731120013452
"3",1,3,0,0,0.0455823062901761
"4",1,4,0,0,0.0629542734351451
"5",1,5,0,0,0.0695156680467286
"6",1,6,0,0,0.0808513324929434
"7",1,7,0,0,0.0985775411628519
"8",1,8,0,0,0.106302637625256
"9",1,9,0,0.00125,0.117093718226445
"10",1,10,0,0.0975,0.181397623661458
"11",1,11,0,0.1125,0.20571582027229
"12",1,12,0,0.14,0.21817798671273
"13",1,13,0,0.17375,0.239662913932361
"14",1,14,0,0.20625,0.260242134513712
"15",1,15,0,0.23,0.277478185498574
"16",1,16,0,0.2625,0.300148044544534
"17",1,17,0,0.27125,0.313493399588078
"18",1,18,0,0.30125,0.33175499066423
"19",1,19,0,0.31,0.334354471875819
"20",1,20,0,0.35625,0.369414169546759
"21",2,1,0,0,0.00567345176599338
"22",2,2,0,0,0.0309171373702573
"23",2,3,0,0,0.0451778501305212
"24",2,4,0,0,0.0635419186955803
"25",2,5,0,0,0.0808041078546748
"26",2,6,0,0,0.0920346701672416
"27",2,7,0,0.0025,0.10975552863911
"28",2,8,0,0.17,0.253065926047275
"29",2,9,0,0.19875,0.270129786227192
"30",2,10,0,0.22125,0.276342766331255
"31",2,11,0,0.22625,0.284743464286536
"32",2,12,0,0.23,0.286058927999014
"33",2,13,0,0.23375,0.294877937827434
"34",2,14,0,0.255,0.295047963260191
"35",2,15,0,0.27125,0.312268389996738
"36",2,16,0,0.28375,0.329649612722695
"37",2,17,0,0.3125,0.358370078542666
"38",2,18,0,0.335,0.373103928450808
"39",2,19,0,0.3725,0.391158492500451
"40",2,20,0,0.405,0.414200925855662
"41",3,1,0,0,0.00514761201455258
"42",3,2,0,0,0.0265494952489419
"43",3,3,0,0,0.0414670476862836
"44",3,4,0,0,0.0571541306402859
"45",3,5,0,0,0.0697571473560134
"46",3,6,0,0,0.0770724508431231
"47",3,7,0,0,0.0869964981949758
"48",3,8,0,0,0.0922478800515175
"49",3,9,0,0.00125,0.107602911778193
"50",3,10,0,0.125,0.190306950469145
"51",3,11,0,0.1625,0.202367450648864
"52",3,12,0,0.18625,0.215164225277002
"53",3,13,0,0.225,0.240410930450894
"54",3,14,0,0.23,0.249058282680315
"55",3,15,0,0.2325,0.259337260221502
"56",3,16,0,0.24625,0.273514669156457
"57",3,17,0,0.2475,0.281806166413036
"58",3,18,0,0.2475,0.298142744167474
"59",3,19,0,0.25625,0.301835761192511
"60",3,20,0,0.265,0.306411077331795
"61",4,1,0,0,0.00539559627583367
"62",4,2,0,0,0.0284558808594646
"63",4,3,0,0,0.0458084335336508
"64",4,4,0,0,0.0601107783472645
"65",4,5,0,0,0.0722337798833677
