Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65c4e8d1655c38d7add2e8fc,5d06743eac143b000118ce79,APPROVED,Not Applicable,2024-02-08T14:44:33.359000Z,2024-02-08T15:11:35.871000Z,2024-02-09T11:19:53.318000Z,2024-02-08T15:14:56.167456Z,1623.0,CDH5AM11,1812,English,37,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
65c4e909cb0985acfd94d60a,60f6f26526b89e4fa8540e9e,APPROVED,Not Applicable,2024-02-08T14:45:32.599000Z,2024-02-08T15:14:17.939000Z,2024-02-09T11:19:53.536000Z,2024-02-08T15:15:16.514238Z,1726.0,NOCODE,813,English,24,Female,Asian,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
65c4e90d891e1cd777944fe5,63f8c22575a1b5631333e8d3,APPROVED,Not Applicable,2024-02-08T14:45:38.420000Z,2024-02-08T15:14:25.551000Z,2024-02-09T11:19:53.770000Z,2024-02-08T15:15:17.086125Z,1728.0,CDH5AM11,319,English,47,Female,Black,United Kingdom,United Kingdom,United Kingdom,English,Yes,DATA_EXPIRED
65c4e94802a123c2342db7aa,5c16e65f11fe9a00013e13da,APPROVED,Not Applicable,2024-02-08T14:47:06.242000Z,2024-02-08T15:21:37.251000Z,2024-02-09T11:19:54.010000Z,2024-02-08T15:21:38.401206Z,2072.0,CDH5AM11,1504,English,46,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
65c4edbe932e249f25968a08,5c31280fd804860001f1e803,APPROVED,Not Applicable,2024-02-08T15:05:45.731000Z,2024-02-08T15:25:34.654000Z,2024-02-09T11:19:54.548000Z,2024-02-08T15:25:35.520083Z,1189.0,C16EH9UF,22,"English, French",19,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Due to start a new job within the next month
65c4f36ce4dbb5fb6ed92d2e,62fb7b36fe604ebae1dcf410,APPROVED,Not Applicable,2024-02-08T15:29:57.905000Z,2024-02-08T15:56:17.335000Z,2024-02-09T11:19:54.764000Z,2024-02-08T15:56:17.890893Z,1580.0,CDH5AM11,836,English,26,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
65c4fe1ab612446080499ba6,608981c1be83df6a5452398e,APPROVED,Not Applicable,2024-02-08T16:15:28.385000Z,2024-02-08T16:39:45.824000Z,2024-02-09T11:19:54.981000Z,2024-02-08T16:39:46.440209Z,1458.0,CDH5AM11,3905,English,36,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
65c4e4aa94f46e78841d0b98,5ea015577dd57200089eb811,RETURNED,Not Applicable,2024-02-08T14:26:59.766000Z,,,,,,739,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
65c4e647f99f6a1cfd820273,5f5668cf2db7050961fce434,RETURNED,Not Applicable,2024-02-08T14:33:55.881000Z,,,,,,594,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
65c4e68d7d07e656ad4121d8,60a2dc7661911b5c61c28b51,RETURNED,Not Applicable,2024-02-08T14:38:42.823000Z,,,,,,878,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
65c4e69e66b74c34c0c59022,5f02573cfb99633f2a3705f2,RETURNED,Not Applicable,2024-02-08T14:35:18.975000Z,,,,,,104,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
65c4e6ecb2dd255402bbc05f,5dc3fe9b547c1f2dabd5a67b,RETURNED,Not Applicable,2024-02-08T14:46:28.689000Z,,,,,,1199,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
65c4e718921782e1af2ed4a3,659ff49e7951e8e58bf01a60,TIMED-OUT,Not Applicable,2024-02-08T14:37:17.272000Z,,,,13051154.0,,5,English,23,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
65c4e74e12070321589eb3eb,63d14582237c845de5fdf1a9,RETURNED,Not Applicable,2024-02-08T14:38:15.656000Z,,,,,,64,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
65c4e75d0ad7bf41ef535242,6560921be311b24166236cfd,RETURNED,Not Applicable,2024-02-08T14:38:24.903000Z,,,,,,40,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
