Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65d7a7c9473223cc317d9f09,5b7af69d2f3fc30001374190,APPROVED,Not Applicable,2024-02-22T20:00:20.812000Z,2024-02-22T20:29:23.240000Z,2024-02-23T13:28:53.326000Z,2024-02-22T20:55:40.431000Z,1743.0,CDH5AM11,698,English,64,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
65d7a7d5ce9ec694190b7bd5,56cda8a952789e000b3d9925,APPROVED,Not Applicable,2024-02-22T20:00:30.275000Z,2024-02-22T20:30:53.691000Z,2024-02-23T13:28:53.594000Z,2024-02-22T20:56:57.134000Z,1824.0,CDH5AM11,1335,English,67,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
65d7a7ea738f405341d8cf36,5ff32b1fb1111683f97a51b1,APPROVED,Not Applicable,2024-02-22T20:00:55.121000Z,2024-02-22T20:28:19.717000Z,2024-02-23T13:28:53.855000Z,2024-02-22T20:54:46.069000Z,1645.0,CDH5AM11,535,English,23,Female,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
65d7a7eac2e3eaacc37c3626,5c7dd22debc24800018e7ca0,APPROVED,Not Applicable,2024-02-22T20:00:48.649000Z,2024-02-22T20:29:36.769000Z,2024-02-23T13:28:30.188000Z,2024-02-22T20:55:53.051000Z,1729.0,CDH5AM11,1049,English,44,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
65d7a7fc6eb7b9c1ecef6b21,607ca741fd54ce0bd3846328,APPROVED,Not Applicable,2024-02-22T20:01:17.881000Z,2024-02-22T20:46:20.319000Z,2024-02-23T13:28:54.105000Z,2024-02-22T21:09:45.932000Z,2703.0,CDH5AM11,1198,English,31,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
65d7a809d8fd62072d537c75,5bdd6fe3712eb800010d1d4a,APPROVED,Not Applicable,2024-02-22T20:01:27.404000Z,2024-02-22T20:35:23.863000Z,2024-02-23T13:28:54.382000Z,2024-02-22T21:00:46.796000Z,2037.0,CDH5AM11,271,"Italian, English",30,Female,White,Italy,United Kingdom,Italy,English,No,Full-Time
65d7a81ac2baa8a8dd5ad8c6,58693be4c44dd30001cd32a6,APPROVED,Not Applicable,2024-02-22T20:01:38.843000Z,2024-02-22T20:27:07.512000Z,2024-02-23T13:28:30.393000Z,2024-02-22T20:53:45.138000Z,1529.0,CDH5AM11,801,English,63,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
65d7a81d3a981e2baf45787e,5c635a08e30ff200016badb9,APPROVED,Not Applicable,2024-02-22T20:01:33.228000Z,2024-02-22T20:41:22.258000Z,2024-02-23T13:28:30.595000Z,2024-02-22T21:05:51.088000Z,2390.0,CDH5AM11,2181,English,56,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65d7a849efea03cdea4ccf9e,63e413ee2188feedff512183,APPROVED,Not Applicable,2024-02-22T20:03:18.976000Z,2024-02-22T20:35:44.918000Z,2024-02-23T13:28:30.795000Z,2024-02-22T21:01:05.827000Z,1946.0,CDH5AM11,890,English,34,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65d7a85ae5e23a968f4c2ee3,5e716ca3bea4de092aebb04e,APPROVED,Not Applicable,2024-02-22T20:02:37.803000Z,2024-02-22T20:26:06.856000Z,2024-02-23T13:28:54.652000Z,2024-02-22T20:52:54.550000Z,1410.0,CDH5AM11,1874,"Spanish, English",26,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65d7a86bc2e3eaacc37c3649,5781511fad1a6c00014658b7,APPROVED,Not Applicable,2024-02-22T20:05:43.584000Z,2024-02-22T20:31:08.894000Z,2024-02-23T13:28:30.995000Z,2024-02-22T20:57:14.851000Z,1526.0,CDH5AM11,1107,English,26,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
65d7a878a628bff5598dd837,5f208cff0b6d52398929e86f,APPROVED,Not Applicable,2024-02-22T20:03:04.375000Z,2024-02-22T20:36:59.760000Z,2024-02-23T13:28:31.227000Z,2024-02-22T21:02:08.468000Z,2036.0,CDH5AM11,287,"English, Tagalog-Filipino",23,Male,Asian,Philippines,United Kingdom,United Kingdom,Tagalog-Filipino,No,Full-Time
65d7a8800cc2b188d61fafe6,5640ffab17bdbe00122a0d08,APPROVED,Not Applicable,2024-02-22T20:03:20.352000Z,2024-02-22T20:37:31.942000Z,2024-02-23T13:28:54.888000Z,2024-02-22T21:02:33.938000Z,2052.0,CDH5AM11,420,English,35,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
65d7a88949a4f7554d81d707,6427f297d1f4496a5bc7a7d5,APPROVED,Not Applicable,2024-02-22T20:04:01.946000Z,2024-02-22T20:46:49.159000Z,2024-02-23T13:28:31.450000Z,2024-02-22T21:10:08.349000Z,2568.0,CDH5AM11,727,English,52,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65d7a8bff6548344ddfe350d,5f26b57a60644b4198c9d5e9,APPROVED,Not Applicable,2024-02-22T20:04:21.295000Z,2024-02-22T20:35:42.797000Z,2024-02-23T13:28:55.163000Z,2024-02-22T21:01:01.319000Z,1882.0,CDH5AM11,395,English,46,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65d7a8c35121deec408cbc22,5efa27ec1c76730eff3dad8e,APPROVED,Not Applicable,2024-02-22T20:05:27.537000Z,2024-02-22T20:30:45.739000Z,2024-02-23T13:28:55.458000Z,2024-02-22T20:57:07.861000Z,1519.0,CDH5AM11,1333,English,26,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
65d7a8d6c2baa8a8dd5ad91f,5ce0915efd65950019a59a93,APPROVED,Not Applicable,2024-02-22T20:04:45.177000Z,2024-02-22T20:34:22.116000Z,2024-02-23T13:28:55.718000Z,2024-02-22T20:59:54.276000Z,1777.0,CDH5AM11,976,English,37,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
65d7a8e12a1c0242edcf5934,62b305571881769a2296082c,APPROVED,Not Applicable,2024-02-22T20:05:04.034000Z,2024-02-22T20:29:18.594000Z,2024-02-23T13:28:31.723000Z,2024-02-22T20:55:35.272000Z,1455.0,CDH5AM11,1078,English,25,Male,Asian,India,United Kingdom,India,English,DATA_EXPIRED,DATA_EXPIRED
65d7a8eb0cc2b188d61fafff,5dbefec9f8e3f93a249ed94a,APPROVED,Not Applicable,2024-02-22T20:04:59.320000Z,2024-02-22T20:39:10.536000Z,2024-02-23T13:28:31.949000Z,2024-02-22T21:04:07.424000Z,2052.0,CDH5AM11,451,"English, Spanish",35,Male,White,Mexico,United Kingdom,Mexico,Spanish,Yes,Part-Time
