Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at
65a933a483ce2adab5c60935,61199943b13201ca162206c6,APPROVED,2024-01-18T14:20:25.446000Z,2024-01-18T14:47:34.125000Z,2024-01-18T16:27:22.839000Z,2024-01-18T14:47:35.265562Z,1629.0,CDH5AM11,116,English,27,Female,White,United States,United Kingdom,United States,English,Yes,DATA_EXPIRED,
65a933bb1b65c1618a185020,5e950a4aef32a3375999451e,APPROVED,2024-01-18T14:21:22.451000Z,2024-01-18T14:49:19.046000Z,2024-01-18T16:27:23.032000Z,2024-01-18T14:49:19.769596Z,1677.0,CDH5AM11,388,English,43,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time,
65a934244c2be26251000290,5d5eca9f97f8b6001aee9594,APPROVED,2024-01-18T14:24:57.139000Z,2024-01-18T14:56:32.186000Z,2024-01-18T16:27:23.227000Z,2024-01-18T14:56:32.688183Z,1896.0,CDH5AM11,1324,"English, French",50,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking),
65a934332701a2b73488d584,59e764b07d6df50001e68a9b,APPROVED,2024-01-18T14:22:49.204000Z,2024-01-18T14:54:40.243000Z,2024-01-18T16:27:23.424000Z,2024-01-18T14:54:40.871106Z,1912.0,CDH5AM11,426,English,73,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
65a9345e3f6b4a6860f1c228,6016e3510ad8cc8a633834ab,APPROVED,2024-01-18T14:23:40.304000Z,2024-01-18T14:50:51.130000Z,2024-01-18T16:27:23.646000Z,2024-01-18T14:50:51.892200Z,1631.0,CDH5AM11,183,English,26,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Other,
65a93480b7c2005091b3f0d9,60bb404e01d599dfb1c3d71c,APPROVED,2024-01-18T14:24:05.579000Z,2024-01-18T14:54:50.188000Z,2024-01-18T16:27:23.844000Z,2024-01-18T14:54:50.909766Z,1845.0,CDH5AM11,1409,English,41,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
65a934835f581d2ed33dd31e,656ba20ba90fb5fecc2b0deb,APPROVED,2024-01-18T14:24:40.252000Z,2024-01-18T14:54:03.230000Z,2024-01-18T16:27:24.045000Z,2024-01-18T14:54:03.778573Z,1763.0,CDH5AM11,5,English,27,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Other,
65a9350a33bcf78d87b7e64b,5976f45b86489900013f3667,APPROVED,2024-01-18T14:26:23.562000Z,2024-01-18T14:52:24.164000Z,2024-01-18T16:27:24.249000Z,2024-01-18T14:52:25.538951Z,1561.0,CDH5AM11,3,English,39,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED,
65a931079b8c8cadbf56c2f6,596f961cfe061d00011e3e03,RETURNED,2024-01-18T14:09:11.583000Z,,,,,,942,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
65a9329a68487dd242182903,608801ce712597732c8f4049,RETURNED,2024-01-18T14:26:00.074000Z,,,,,,137,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
