Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Colourblindness,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
667471cb9b40f76e8a557cae,6659f778e5822996669dce16,APPROVED,Not Applicable,2024-06-20T18:17:13.874000Z,2024-06-20T19:19:01.453000Z,2024-06-24T11:29:18.882000Z,2024-06-20T19:19:01.954716Z,3708.0,CD9A7ZYU,45,English,"No, I have no issues seeing colours",34,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
667471cd01cf3d7fa4cc1e10,632b54f5fa1b0a56ffe31f6e,RETURNED,Not Applicable,2024-06-20T18:15:52.739000Z,,,2024-07-08T15:41:45.484858Z,,,1011,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
667471d0bfbfb7e43f79294d,66620c42ba66904d654d01d8,APPROVED,Not Applicable,2024-06-20T18:15:50.018000Z,2024-06-20T18:16:03.607000Z,2024-06-24T11:29:19.173000Z,2024-06-20T18:16:04.304985Z,14.0,NOCODE,26,English,"No, I have no issues seeing colours",29,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
667471d1aefc3b76c067fc07,5a33acd25617d60001f0e8ba,APPROVED,Not Applicable,2024-06-20T18:15:55.585000Z,2024-06-20T18:59:48.368000Z,2024-06-24T11:29:19.422000Z,2024-06-20T18:59:51.937263Z,2633.0,CD9A7ZYU,658,English,"No, I have no issues seeing colours",28,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
667471d36cc8df5442e77c6a,6303b4c05665ebafc44b5f19,APPROVED,Not Applicable,2024-06-20T18:15:50.576000Z,2024-06-20T19:13:37.358000Z,2024-06-24T11:29:19.689000Z,2024-06-20T19:13:59.811862Z,3467.0,CD9A7ZYU,786,English,"No, I have no issues seeing colours",25,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
667471dc10b6684b86dde0d7,5c4353086ce36f0001205f65,APPROVED,Not Applicable,2024-06-20T18:16:03.408000Z,2024-06-20T19:06:22.977000Z,2024-06-24T11:29:19.978000Z,2024-06-20T19:06:43.429247Z,3020.0,CD9A7ZYU,2072,English,"No, I have no issues seeing colours",37,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
667471e78b84bc161af44517,656b6e1fe07ae01094b87cda,APPROVED,Not Applicable,2024-06-20T18:17:04.555000Z,2024-06-20T19:30:58.899000Z,2024-06-24T11:29:20.250000Z,2024-06-20T19:30:59.360719Z,4435.0,CD9A7ZYU,344,English,"No, I have no issues seeing colours",37,Female,Black,DATA_EXPIRED,United States,DATA_EXPIRED,English,DATA_EXPIRED,DATA_EXPIRED
667471e8d9e3f9d5245e6fa1,63654fcf8d9402db00e4fec9,APPROVED,Not Applicable,2024-06-20T18:16:19.211000Z,2024-06-20T19:13:35.891000Z,2024-06-24T11:29:20.547000Z,2024-06-20T19:13:58.575635Z,3437.0,CD9A7ZYU,284,English,"No, I have no issues seeing colours",43,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
667471eed9e3f9d5245e6fa3,5a91cb166219a30001d2e6ef,APPROVED,Not Applicable,2024-06-20T18:16:18.199000Z,2024-06-20T19:18:04.052000Z,2024-06-24T11:29:20.812000Z,2024-06-20T19:18:04.548284Z,3706.0,CD9A7ZYU,1680,English,"No, I have no issues seeing colours",31,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
667471fda5119b119a557d7b,60a69e84d2f871b61d608e89,APPROVED,Not Applicable,2024-06-20T18:16:57.410000Z,2024-06-20T18:28:06.255000Z,2024-06-24T11:29:21.058000Z,2024-06-20T18:28:06.744418Z,669.0,CEG0G0I7,2685,English,"No, I have no issues seeing colours",33,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
