Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at
6579bad59495e445504b1178,5f9b1807e2ed9e2ebd0fdf73,APPROVED,2023-12-13T14:08:21.321000Z,2023-12-13T14:49:30.677000Z,2023-12-13T16:52:15.532000Z,2023-12-13T14:49:31.114459Z,2470.0,CDH5AM11,193,English,23,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Full-Time,
6579baff6af70405017c36bf,60b610d8c3c4f177c8337729,APPROVED,2023-12-13T14:09:06.227000Z,2023-12-13T14:33:41.504000Z,2023-12-13T16:52:15.805000Z,2023-12-13T14:33:41.938646Z,1476.0,CDH5AM11,1385,English,38,Male,White,Canada,United Kingdom,Canada,English,Yes,Full-Time,
6579bbf97edb6ac775978e84,58b6424b8f14260001a6bcd0,APPROVED,2023-12-13T14:13:17.083000Z,2023-12-13T14:40:41.977000Z,2023-12-13T16:52:15.978000Z,2023-12-13T14:40:42.418976Z,1645.0,CDH5AM11,1204,English,36,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking),
6579bc2ce68d3c7d40ee4963,5e0141dd4babe3d1a875d137,APPROVED,2023-12-13T14:14:04.603000Z,2023-12-13T14:57:32.426000Z,2023-12-13T16:52:16.154000Z,2023-12-13T14:57:32.944747Z,2608.0,CDH5AM11,209,"English, Hindi, Urdu",38,Male,Asian,Pakistan,United Kingdom,DATA_EXPIRED,DATA_EXPIRED,No,Full-Time,
6579bc2fd78dce3d29f7f656,5f709bd12fcbfe673d756220,APPROVED,2023-12-13T14:14:10.602000Z,2023-12-13T14:40:03.634000Z,2023-12-13T16:52:16.331000Z,2023-12-13T14:40:04.157449Z,1554.0,CDM5AM11,609,English,38,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time,
6579bc59f58c244f51a95671,60e0977eebcf699dade9a39d,APPROVED,2023-12-13T14:14:53.820000Z,2023-12-13T14:57:20.577000Z,2023-12-13T16:52:16.518000Z,2023-12-13T14:57:21.126839Z,2547.0,CDH5AM11,971,English,32,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
6579bcb9ed19c846eb0a404e,5e31a3142c324c17ab9061d5,APPROVED,2023-12-13T14:16:33.135000Z,2023-12-13T14:41:06.998000Z,2023-12-13T16:52:16.689000Z,2023-12-13T14:41:07.569727Z,1474.0,CDH5AM11,161,"Danish, English, Somali",24,Male,Black,United Kingdom,United Kingdom,United Kingdom,Somali,DATA_EXPIRED,DATA_EXPIRED,
6579bcbfdef90fc2a25cbc42,5ea556346fe116549c336fc9,APPROVED,2023-12-13T14:18:27.456000Z,2023-12-13T14:51:10.451000Z,2023-12-13T16:52:16.867000Z,2023-12-13T14:51:11.046906Z,1963.0,CDH5AM11,130,English,23,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,
6579bcc1be13842c43819618,62fb804a737937835d963c8b,APPROVED,2023-12-13T14:16:41.007000Z,2023-12-13T14:44:05.656000Z,2023-12-13T16:52:17.042000Z,2023-12-13T14:44:06.111450Z,1645.0,CDH5AM11,98,English,31,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
6579d18ee009ba99ac2c2bf0,6310a5c786d2abda637997c0,APPROVED,2023-12-13T15:45:21.651000Z,2023-12-13T16:09:23.846000Z,2023-12-13T16:52:17.223000Z,2023-12-13T16:09:24.647262Z,1443.0,CDH5AM11,784,English,42,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
6579bb44d8688381dad89c83,59317a9fe7866d00016187e7,APPROVED,2023-12-13T14:10:24.534000Z,2023-12-13T14:38:54.686000Z,2023-12-13T16:52:10.512000Z,2023-12-13T14:38:55.321180Z,1711.0,NOCODE,972,English,33,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED,
6579bbd9084abe2accd87386,5639b0bfbe9cac0011aaa84e,APPROVED,2023-12-13T14:12:47.554000Z,2023-12-13T14:42:00.974000Z,2023-12-13T16:52:10.715000Z,2023-12-13T14:42:02.133317Z,1754.0,CDH5AM11,655,English,57,Female,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED,
6579bc8b1a6a7e24def84187,5989b85ce684850001dfe29c,APPROVED,2023-12-13T14:15:44.485000Z,2023-12-13T14:44:38.258000Z,2023-12-13T16:52:10.962000Z,2023-12-13T14:44:38.685956Z,1734.0,CDH5AM11,1661,English,54,Female,White,United States,United Kingdom,United States,English,No,DATA_EXPIRED,
6579bc946d7c02d75167c8bd,570d30d942a1db000fc4cf87,APPROVED,2023-12-13T14:15:58.664000Z,2023-12-13T14:52:17.783000Z,2023-12-13T16:52:11.165000Z,2023-12-13T14:52:18.356754Z,2180.0,CDH5AM11,3369,English,61,Female,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time,
6579bcb1b6899caebe717fae,60743d89f6527366aa827f55,APPROVED,2023-12-13T14:16:49.810000Z,2023-12-13T14:45:57.672000Z,2023-12-13T16:52:11.380000Z,2023-12-13T14:45:58.188296Z,1748.0,CDH5AM11,120,English,22,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking),
6579bcbb4ecdf32ccd25916c,6128fd492700069e594016c9,APPROVED,2023-12-13T14:17:29.891000Z,2023-12-13T15:04:08.684000Z,2023-12-13T16:52:11.592000Z,2023-12-13T15:04:09.418340Z,2799.0,CDH5AM11,1078,English,29,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
6579bcbdfe46364377cf499d,628dc77e9de8190389d8b000,APPROVED,2023-12-13T14:16:39.479000Z,2023-12-13T14:49:21.134000Z,2023-12-13T16:52:11.847000Z,2023-12-13T14:49:21.801589Z,1962.0,CDH5AM11,342,English,25,Female,Black,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,
6579bce2b6899caebe717fb2,5c413c73bc9c0c00014ed033,APPROVED,2023-12-13T14:21:54.880000Z,2023-12-13T14:52:54.376000Z,2023-12-13T16:52:12.040000Z,2023-12-13T14:52:54.901611Z,1860.0,CDH5AM11,1360,English,46,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,
6579bceea57550d69f441f09,5d0245966e208b0017301561,APPROVED,2023-12-13T14:17:41.989000Z,2023-12-13T14:45:02.022000Z,2023-12-13T16:52:12.230000Z,2023-12-13T14:45:02.433611Z,1641.0,CDH5AM11,881,English,32,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time,
6579bdb1c0f8749b1dfd4423,5c9a864efb57e6001796ee49,APPROVED,2023-12-13T14:20:36.834000Z,2023-12-13T14:47:06.082000Z,2023-12-13T16:52:12.425000Z,2023-12-13T14:47:06.532743Z,1590.0,CDH5AM11,1649,English,43,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
6579bae932e5b81cebf50d8f,63ffa57310e50bde36237ecf,RETURNED,2023-12-13T14:08:44.840000Z,,,,,,263,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
6579bb30a3b3fd47e47be7d5,5bd2dfe77a73e700016ecc8a,RETURNED,2023-12-13T14:10:09.990000Z,,,,,,96,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
6579bcadc08dfa069a375cba,5c5ca0ce4ee81200018eaf51,RETURNED,2023-12-13T14:16:17.659000Z,,,,,,1271,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
6579bcc64fadb3573061f717,60ca8ba5df33cf01a47b670a,TIMED-OUT,2023-12-13T14:16:41.608000Z,,,,17976909.0,,627,"English, French",30,Male,Asian,Mauritius,United Kingdom,Mauritius,English,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
6579bad59495e445504b1178,5f9b1807e2ed9e2ebd0fdf73,APPROVED,2023-12-13T14:08:21.321000Z,2023-12-13T14:49:30.677000Z,2023-12-13T16:52:15.532000Z,2023-12-13T14:49:31.350000Z,2470.0,CDH5AM11,285,English,23,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Full-Time,Not Applicable
6579baff6af70405017c36bf,60b610d8c3c4f177c8337729,APPROVED,2023-12-13T14:09:06.227000Z,2023-12-13T14:33:41.504000Z,2023-12-13T16:52:15.805000Z,2023-12-13T14:33:42.085000Z,1476.0,CDH5AM11,1738,English,39,Male,White,Canada,United Kingdom,Canada,English,Yes,Full-Time,Not Applicable
6579bb44d8688381dad89c83,59317a9fe7866d00016187e7,APPROVED,2023-12-13T14:10:24.534000Z,2023-12-13T14:38:54.686000Z,2023-12-13T16:52:10.512000Z,2023-12-13T14:38:55.463000Z,1711.0,NOCODE,1004,English,33,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
6579bbd9084abe2accd87386,5639b0bfbe9cac0011aaa84e,APPROVED,2023-12-13T14:12:47.554000Z,2023-12-13T14:42:00.974000Z,2023-12-13T16:52:10.715000Z,2023-12-13T14:42:02.362000Z,1754.0,CDH5AM11,705,English,58,Female,Mixed,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
6579bbf97edb6ac775978e84,58b6424b8f14260001a6bcd0,APPROVED,2023-12-13T14:13:17.083000Z,2023-12-13T14:40:41.977000Z,2023-12-13T16:52:15.978000Z,2023-12-13T14:40:42.640000Z,1645.0,CDH5AM11,1349,English,36,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking),Not Applicable
6579bc2ce68d3c7d40ee4963,5e0141dd4babe3d1a875d137,APPROVED,2023-12-13T14:14:04.603000Z,2023-12-13T14:57:32.426000Z,2023-12-13T16:52:16.154000Z,2023-12-13T14:57:33.176000Z,2608.0,CDH5AM11,410,"Hindi, Urdu, English",39,Male,Asian,Pakistan,United Kingdom,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
6579bc2fd78dce3d29f7f656,5f709bd12fcbfe673d756220,APPROVED,2023-12-13T14:14:10.602000Z,2023-12-13T14:40:03.634000Z,2023-12-13T16:52:16.331000Z,2023-12-13T14:40:04.388000Z,1554.0,CDM5AM11,928,English,39,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,Not Applicable
6579bc59f58c244f51a95671,60e0977eebcf699dade9a39d,APPROVED,2023-12-13T14:14:53.820000Z,2023-12-13T14:57:20.577000Z,2023-12-13T16:52:16.518000Z,2023-12-13T14:57:21.367000Z,2547.0,CDH5AM11,993,English,32,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Full-Time,Not Applicable
6579bc8b1a6a7e24def84187,5989b85ce684850001dfe29c,APPROVED,2023-12-13T14:15:44.485000Z,2023-12-13T14:44:38.258000Z,2023-12-13T16:52:10.962000Z,2023-12-13T14:44:38.893000Z,1734.0,CDH5AM11,1805,English,55,Female,White,United States,United Kingdom,United States,English,No,DATA_EXPIRED,Not Applicable
6579bc946d7c02d75167c8bd,570d30d942a1db000fc4cf87,APPROVED,2023-12-13T14:15:58.664000Z,2023-12-13T14:52:17.783000Z,2023-12-13T16:52:11.165000Z,2023-12-13T14:52:18.628000Z,2180.0,CDH5AM11,3395,English,62,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
6579bcb1b6899caebe717fae,60743d89f6527366aa827f55,APPROVED,2023-12-13T14:16:49.810000Z,2023-12-13T14:45:57.672000Z,2023-12-13T16:52:11.380000Z,2023-12-13T14:45:58.420000Z,1748.0,CDH5AM11,123,English,23,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED,Not Applicable
6579bcb9ed19c846eb0a404e,5e31a3142c324c17ab9061d5,APPROVED,2023-12-13T14:16:33.135000Z,2023-12-13T14:41:06.998000Z,2023-12-13T16:52:16.689000Z,2023-12-13T14:41:07.842000Z,1474.0,CDH5AM11,343,"English, Danish, Somali",25,Male,Black,United Kingdom,United Kingdom,United Kingdom,Somali,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
6579bcbb4ecdf32ccd25916c,6128fd492700069e594016c9,APPROVED,2023-12-13T14:17:29.891000Z,2023-12-13T15:04:08.684000Z,2023-12-13T16:52:11.592000Z,2023-12-13T15:04:09.629000Z,2799.0,CDH5AM11,1220,English,29,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
6579bcbdfe46364377cf499d,628dc77e9de8190389d8b000,APPROVED,2023-12-13T14:16:39.479000Z,2023-12-13T14:49:21.134000Z,2023-12-13T16:52:11.847000Z,2023-12-13T14:49:22.022000Z,1962.0,CDH5AM11,616,English,26,Female,Black,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
6579bcbfdef90fc2a25cbc42,5ea556346fe116549c336fc9,APPROVED,2023-12-13T14:18:27.456000Z,2023-12-13T14:51:10.451000Z,2023-12-13T16:52:16.867000Z,2023-12-13T14:51:11.244000Z,1963.0,CDH5AM11,241,English,23,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,Not Applicable
6579bcc1be13842c43819618,62fb804a737937835d963c8b,APPROVED,2023-12-13T14:16:41.007000Z,2023-12-13T14:44:05.656000Z,2023-12-13T16:52:17.042000Z,2023-12-13T14:44:06.371000Z,1645.0,CDH5AM11,116,English,32,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
6579bce2b6899caebe717fb2,5c413c73bc9c0c00014ed033,APPROVED,2023-12-13T14:21:54.880000Z,2023-12-13T14:52:54.376000Z,2023-12-13T16:52:12.040000Z,2023-12-13T14:52:55.122000Z,1860.0,CDH5AM11,1462,English,46,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
6579bceea57550d69f441f09,5d0245966e208b0017301561,APPROVED,2023-12-13T14:17:41.989000Z,2023-12-13T14:45:02.022000Z,2023-12-13T16:52:12.230000Z,2023-12-13T14:45:02.679000Z,1641.0,CDH5AM11,1032,English,32,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time,Not Applicable
6579bdb1c0f8749b1dfd4423,5c9a864efb57e6001796ee49,APPROVED,2023-12-13T14:20:36.834000Z,2023-12-13T14:47:06.082000Z,2023-12-13T16:52:12.425000Z,2023-12-13T14:47:06.738000Z,1590.0,CDH5AM11,1796,English,43,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,"Not in paid work (e.g. homemaker', 'retired or disabled)",Not Applicable
6579d18ee009ba99ac2c2bf0,6310a5c786d2abda637997c0,APPROVED,2023-12-13T15:45:21.651000Z,2023-12-13T16:09:23.846000Z,2023-12-13T16:52:17.223000Z,2023-12-13T16:09:24.899000Z,1443.0,CDH5AM11,1272,English,43,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,Not Applicable
